Timestamp,temperature_2m_max,precipitation_sum,windspeed_10m_max,shortwave_radiation_sum,3_day_rainfall,7_day_rainfall
2021-02-23,30.1,0.0,14.1,21.47,0.0,6.0
2021-02-24,31.3,0.0,12.8,21.81,0.0,2.3
2021-02-25,31.8,0.0,15.1,21.77,0.0,1.6
2021-02-26,32.0,0.0,16.9,21.71,0.0,0.3
2021-02-27,31.9,0.0,16.3,22.08,0.0,0.0
2021-02-28,33.1,0.0,16.4,21.32,0.0,0.0
2021-03-01,33.3,0.0,16.5,21.48,0.0,0.0
2021-03-02,33.3,0.0,15.8,22.17,0.0,0.0
2021-03-03,31.7,0.0,12.4,22.8,0.0,0.0
2021-03-04,33.1,0.0,13.8,22.76,0.0,0.0
2021-03-05,33.5,0.0,19.8,22.63,0.0,0.0
2021-03-06,32.1,0.0,18.6,22.93,0.0,0.0
2021-03-07,33.5,0.0,10.7,22.95,0.0,0.0
2021-03-08,34.6,0.0,10.9,22.93,0.0,0.0
2021-03-09,33.9,0.0,13.8,20.87,0.0,0.0
2021-03-10,34.3,0.0,10.8,19.09,0.0,0.0
2021-03-11,33.6,0.0,12.1,18.82,0.0,0.0
2021-03-12,34.2,2.5,21.8,16.64,2.5,2.5
2021-03-13,28.4,4.8,18.7,18.53,7.3,7.3
