X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.444599277679,22.227716578859,78,27,1,391,19.3297290802002,223.559326171875,11.2698459625244,25.8456954956055
85.445681754451,22.2280055414201,79,27,1,410,21.6206207275391,169.33056640625,13.2967529296875,30.789608001709
85.4468706335775,22.2281271424139,80,27,1,399,17.9176750183105,164.514190673828,6.96150970458984,24.7588367462158
85.4451305884766,22.2281837544648,81,27,1,410,18.3270015716553,195.107116699219,12.5404605865479,27.1108837127686
85.402966889521,22.2274742604571,82,28,1,398,16.7729034423828,250.945465087891,8.76845359802246,24
85.402863694518,22.2282208446736,83,28,1,397,20.6548652648926,259.978576660156,9.37344169616699,28.213472366333
85.4025562742981,22.2286757322137,84,28,1,396,18.6335849761963,253.760162353516,7.62614059448242,24.6170673370361
85.4024927020248,22.2294768266985,85,28,1,398,17.9507369995117,272.175811767578,9.04536437988281,23.0651245117188
85.4028851759729,22.2291271789399,86,28,1,408,21.068531036377,265.727630615234,9.53089714050293,26.8141746520996
85.4027584224611,22.2300380354105,87,28,1,409,17.264533996582,270,,18.9736652374268
85.402978367064,22.2295797090451,88,28,1,407,17.0516471862793,272.298248291016,13.2579689025879,22.3383083343506
85.4235617866752,22.2273634366615,89,29,1,431,14.0204916000366,316.255462646484,8.32706642150879,19.5192203521729
85.4234250534456,22.2280182185327,90,29,1,418,18.8486442565918,283.190521240234,17.0603218078613,26.1151294708252
85.4231509845744,22.2289054025098,91,29,1,394,15.071494102478,298.162750244141,26.3970756530762,29.5634918212891
85.4235499831691,22.2285067898016,92,29,1,418,21.8627643585205,278.224548339844,18.7418441772461,29.9165496826172
85.5550943237452,22.2288805095034,93,30,1,457,17.1936702728271,152.590850830078,10.7375755310059,23.1948261260986
85.555858340431,22.2292990294033,94,30,1,463,12.9176683425903,120.034660339355,11.2527074813843,17.5783958435059
85.555556547301,22.2286591200773,95,30,1,444,11.8370170593262,143.325759887695,17.5312423706055,17
85.5551911271427,22.2293257188229,96,30,1,472,8.17383289337158,143.056304931641,13.9783735275269,12.5698051452637
85.5691987145939,22.2288330839196,97,31,1,448,15.8169355392456,293.905487060547,8.36859226226807,21.2837963104248
85.5690830768981,22.2293353540407,98,31,1,448,15.3509254455566,291.923309326172,9.42025756835938,21.3072757720947
85.4059631814967,22.2272345500779,99,32,1,434,12.8055830001831,243.195785522461,7.26230525970459,17.2626762390137
85.4194014521161,22.2273727051655,100,33,1,419,13.1439743041992,109.486740112305,8.02171516418457,18.0831413269043
